41,177,280
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',8
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',7
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',14
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',3
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',6
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',16
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',14
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',2
'\'(-inf-38.666667]\'','\'(-inf--0.533333]\'',2
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',4
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(3.333333-inf)\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',4
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',5
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',6
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',10
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',16
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',16
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',5
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',5
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',2
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',6
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',16
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',10
'\'(38.666667-77.333333]\'','\'(-inf--0.533333]\'',3
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',2
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',2
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',4
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',6
'\'(77.333333-inf)\'','\'(-inf--0.533333]\'',9
'\'(38.666667-77.333333]\'','\'(-inf--0.533333]\'',2
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',4
'\'(77.333333-inf)\'','\'(-inf--0.533333]\'',9
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',9
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',4
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',5
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',10
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-inf--0.533333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',4
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(77.333333-inf)\'','\'(-0.533333-3.333333]\'',4
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',6
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-inf--0.533333]\'',2
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(-inf-38.666667]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',1
'\'(38.666667-77.333333]\'','\'(3.333333-inf)\'',1
'\'(38.666667-77.333333]\'','\'(-0.533333-3.333333]\'',6
